No	Japanese	Translation	Note
771	今週末は温泉に行く余裕はないね。すっからかんだ。 	I can't afford to go to the onsen this weekend. I'm broke.	
772	彼女が去っていく後ろ姿を見つめながら僕は茫然と立ち尽くしていた。 	I kept standing there in a daze, staring at her as she walked off into the distance.	
773	前史を忘れてはいけない」。戦争の教訓を考えます。		
774	折り返しお電話いただけるとありがたいですが。		
775	あなたは少しは気持ちが落ち着きましたか？	Have you calmed down a little bit?	
776	彼女のどこに惚れて付き合うことになったのですか？		
777	私たちは話があまり合わない。	We don't really have much to talk about.	
778	陶芸とかだったら考えてみてもいいんだけど・・・		Nếu là làm đồ gốm thì tôi sẽ suy nghĩ, nhưng mà...
779	あなたは無理してそれを食べる必要はありません。	You don't need to push yourself to eat that.	Không cần phải cố ép mình ăn
780	なんか、あったの？	Is something wrong?	相手の気分や顔色を気にかける際に使う表現
781	返事はいつでもいいから		
782	子供が熱を出したとか、残念だけど言っといてよ		
783	ご購入より3ヵ月以内は、返品や 色違い・サイズ違いの商品への交換ができます。		Trong vòng 3 tháng sau khi mua hàng
784	アニメは見ていないので知らないが、カヴァーでもこうして不朽の名曲が歌い継がれているならこれはこれでいい。大切なのは、真の名曲を後世に未来永劫遺す事だ。リアルタイム世代だが前途有為な若い世代にバトンを託したい。		
785	z-indexプロパティは、要素の重なりの順序を指定する際に使用します。  z-indexは整数値で指定し、値が大きいほど上に表示されます。		
786	max-width: ◯◯px（またはmin-width: ◯◯px）のようにメディアクエリの条件を指定するとき、「◯◯px」の部分をブレイクポイントと呼びます。 今回はスマートフォンの画面幅は670px以下、タブレットの画面幅は670px ~ 1000pxと想定して、ブレイクポイントを設定しましょう。		
787	関数はファイルポインタをエイリアスデータベースの先頭に巻き戻す。　	The function rewinds the file pointer to the beginning of the aliases database.	
788	彼女は高望みするタイプです。 	She is a high-liver.	
789	ピリ辛の味にもほんのりした甘味のある昔ながらの味わい		
790	言い換えれば、彼女はそのプロポーズを断りたいのだ。	In other words, She wants to refuse the proposal.	
791	人類の知能の進化（じんるいのちのうのしんか）では、人類の知能がいかに進化したかの解明を試みた一連の理論を説明する。この設問は人間の脳の進化および人間の言語の起源と深く関わっている。		
792	脚本には、柱、ト書き、セリフ、3幕構成などの書き方のルールがあります。		
793	親というものは、どんなに腕白でも、子供を可愛がるものです。	Parents love their children however naughty they are.	
794	カードの銀色の部分をこすると数字が出てきます。 	Scratch off the silver coating to reveal the numbers.	
795	これらの理論はすべて DNA 分子に完全な遺伝情報が含まれているというパラダイムに基づいている。 	All these theories are based on the paradigm that complete genetic information is contained in DNA molecules.	
796	当社の利益配分につきましては、長期的・総合的視野に立った企業体質の強化ならびに将来の事業展開に備えた内部留保にも意を用いつつ、当社および当社グループの連結業績に応じた株主還元を行うことといたします。		
797	大学出たての新人は資料を作ったり、コピーをとったりと裏方仕事に徹するのだろうと、勝手に想像していたのですが見事に裏切られました。 	I had imagined that the newbies fresh from university would probably be stuck with all the backstage 	
798	本人は唯我独尊を決め込んでいるようだけども、周りから見れば単なるわがままだよね。 	He's completely convinced of his own greatness but to the people around him he's just a selfish jerk.	
799	末永く、楽しい日々を送られますようおいのりします。 	We wish her many happy years in the future.	
800	シンジ君て、どうも友達作るのには不向きな性格かもしれないわね…	Well, I would guess that Shinji's not the sort who makes friends easily.‌	
801	今のシンジ君は、心のどこかで痛みに怯えて、臆病になっているんでしょうね	Shinji is probably afraid of pain and has become a coward somewhere in his heart.‌	
802	ま、そのうち気付くわよ… 大人になるってのは近づいたり離れたりを繰り返して、お互いがあんまり傷つかずに済む距離を見つけ出すってことに…		
803	経済の崩壊、民族紛争、内戦、その後生き残った人々もありとあらゆる地獄を見ました。	The survivors still had to live through the hell‌ of worldwide economic collapse, ethnic conflicts, and civil wars.‌	
804	今のままだと、タブレットの画面幅にした時にレッスン紹介の部分が見づらくなっています。		
805	続けて、スマートフォン環境でもボタンをタップしやすいように、ボタンの幅を画面いっぱいに広げましょう。		
806	本来はjQueryなどを用いてアイコンをクリックした時の動作をつけるべきですが、このレッスンでは扱いません		
807	このままでは収まりがつかないから第三者に入ってもらおう。 	We're getting nowhere like this [At this rate we'll never settle things]; we shall have to bring in a third party (to help us out).	
808	すんなり事が運ぶ。 	Go smoothly; go without a hitch.	
809	やる仕事がたくさんあって始めて暇なときを１２分に楽しめる。 	It is impossible to enjoy idling thoroughly unless one has plenty of work to do	
810	教室に入って席に着くのとほぼ同時に、始業を知らせるチャイムの音が鳴り響く。 	About the same time as he entered the classroom and arrived at his seat, the chime to announce class rings across the school.	
811	心寂しく老後を送る。 	Have a lonely old age; be lonely in one's old age.	
812	彼の日記は出来事の羅列に近かった。もっとも時には、長々と記述することもあった。 	His diary was a kind of list of events, though he commented at length once in a while.	
813	console.log() は丸括弧 () 内に入力された文字をコンソールに出力します。		
814	文字列は、左の図のようにシングルクォーテーション（ ' ）かダブルクォーテーション（ " ）で囲む必要があるので注意しましょう。		
815	// 「ひつじ」と「仙人」を連結してコンソールに出力してください		
816	わたしこれでも繊細なのよ。 	I am a sensitive person, you know.	
817	彼は働かないで親類にたかることばかり考えている。 	He doesn't work, but only thinks of sponging off his relatives.	
818	まず条件式の判定が行われ、trueの時のみ{}の中で処理が1度実行されます。		
819	左の図では変数numberの値を更新するコードを書き忘れており、これではいつまで条件がtrueのままで、永遠に繰り返し処理が続いてしまいます。 （これを無限ループと呼びます。）		
820	for文では「変数の定義」「条件式」「変数の更新」の3つを括弧の中に書きます。括弧の中ではそれぞれをセミコロン（;）で区切ります。 		
821	左の図がwhile文、右の図がfor文のコードになっています。下線が引いてある部分を中心に、見比べてみましょう。		
822	配列は、[値1, 値2, 値3] のように作ります。配列に入っているそれぞれの値のことを要素と呼びます。		
823	配列の要素にはそれぞれインデックス番号という番号がついています。		
824	配列は左の図のように、要素に値を代入することでその要素を上書きすることができます。		
825	オブジェクトの値を取り出すには、対応するプロパティ名を用いて 、「オブジェクト.プロパティ名」のようにします。		Tương ứng
826	ここからは、オブジェクトを要素に持つ配列を見ていきましょう。		
827	呼び出し元で受け取る処理結果を戻り値（もどりち）と呼び、このことを「関数が戻り値を返す」と言います。		
828	numberが3の倍数かどうかを戻り値として返してください		
829	また、継承では元となるクラスを親クラス（今回はAnimalクラス）、新しく作成するクラスを子クラス（今回はDogクラス）と呼びます。		
830	世界的に人気上昇中のサイトの見た目を作るJavaScriptライブラリ		
831	これまでファイルの指定は「./ファイル名」としてきました。 これは相対パスと言い、記述されているファイルからみた位置関係を示しています。		
832	ディレクトリ構成を変えたため、一部のインポート、エクスポートが動作しなくなっています。		Không hoạt động
833	うむ、実はここまで学んできたインポートは少し違う使い方もあるんじゃ。		
834	一般的に、自分のPCで開発する環境のことをローカル環境、開発する環境を用意することを環境構築と呼びます。 		
835	色っぽいことを考えていると、鼻の下が本当に伸びるらしい。 最近初めて知った。		
836	あなたは浮き世の悩みがないような顔をしている。 	You look as if you don't have a care in the world.	
837	この美術館はオランダの巨匠が描いた作品がたくさんある。 	This art collection is rich in paintings by Dutch masters.	
838	これらのストラテジーがエメット理論と抵触するかもしれないというのが、彼らの仮説である。 	Their hypothesis is that these strategies may come into conflict with Emmet's theory.﻿	
839	肝が据わってる女性の特徴11選！同性や異性にも支持される生き方とは？		
840	自然界の普通の環境で生活している生物に極めて希に生じる突然変異で、生物進化の原動力になりました。		
841	彼は何とか二人を仲直りさせようと腐心していた。 	He made every effort to effect a reconciliation between the two of them.	
842	バリアフリーとユニバーサルデザインは、発案されたきっかけや背景は大きく違いますが、事業や整備がよく似ていますので良く混同されています。		
843	若人の祭典。 	A young people's festival.	
844	銀行からの融資が決まって一息つく。 	Be temporarily relieved by a successful application for a loan from a bank.	
845	また，任意で同行・出頭に応じて事情聴取された場合は，いつでも退去することができます。 		
846	彼に監督就任を要請したところ, 受諾してくれそうな好感触を得た。 	When we asked him to serve as manager, ⌐we got a positive impression [it seemed likely] that he would accept.	
847	プログラム内蔵方式のコンピュータでは、プロセッサ（特にCPU）の動作は、主記憶装置から読み込まれるプログラムによって制御される。		
848	親に心配をかけるのを苦々しく思う	I am pained at the idea of causing my parents anxiety.	
849	前菜＝食事の最初に酒のつまみ，あるいは食欲を高めるために出す軽い料理。 オードブル。		
850	もう知ってると思いますが、わたしのヒゲは付け髭です。 もうお気づきでしょうが、彼女のヒゲもニセモノです	I think you might know this already, but my mouth touche is fake. I think you have noticed this by now, but her mouth touche is fake too.	
851	ちゃんと勉強してればあがっていくと思いますので次回に向けてですね、諦めないで勉強を続けていってほしいなと思います		
852	もちろん合格するのはいいことですし まああの仕事をもらったりね留学したりする時にまあその合格しましたという証明は もちろん必要だと思うんですけれども やっぱり日本語の能力どれくらい日本語が分かるかどれくらい日本語が使えるかって いうことを考えるのであれば合格じゃなくて 点数をちょっと見てほしいなと思います。		
853	でも満点が180ですよ 180例えば180の中で100点ぐらい取って合格したとしても それって半分 ですテスト受けてまぁ半分ぐらいしか取れてないん っていうことになります		
854	選択式なのでまぁ漢字を書くこともないですし 漢字どころかひらがなを書くこともないんですよね でもちろん話すテストもないですし作文みたいな文章を書く問題もないのでまぁそう いうテスト まあそういう形式のテストで半分くらい点数を取ったっていうのはどうでしょう		
855	役に立つかどうかはね、皆さんがこれを聞いて判断してくれればいいと思います。		Đánh giá
856	パイロット、脳波乱れています、心音微弱！		
857	これまで採取したデータによりますと、目標は一定距離内の外敵を自動排除するもの、と推測されます。		
858	-でも、こんな野戦向きじゃない兵器、役に立つんですか？ -仕方ないわよ、間に合わせなんだから		Giải pháp tình thế
859	-大丈夫ですよね -理論上はね。	So it'll be okay?‌ Theoritically, yes	Trên lý thuyết là vậy
860	後は機械がやってくれるわ	The computers will handle the rest.‌	Còn lại máy tính sẽ lo
861	そりゃそうなんですけど、「怠けている」というより「もう自分何やりたいのか分からなくなっちゃった」といったほうが正しいじゃないかと。彼の場合ではね。		Nói là... thì đúng hơn
862	お父さん、お母さん、また会う日まで元気でいてください。		
863	私に特別やさしくしてくれた女性が何人かあった.	Several women put themselves out [went out of their way] to be nice to me.	Đối xử tốt
864	臆病で人をだましてばかりいる私は、愛されるに値しないのよ。だからもう、私にやさしくしないでくれ。君を傷つけたくないから。		Không xứng đáng được yêu Đừng đối xử tốt với tôi
865	嫁が欲しがってたぬいぐるみをサプライズで買ってあげたら、、、めっちゃうるさい。		Bất ngờ tặng
866	デイリー、終わりましたよね？ まだ続いてますが、もうすぐ終わります		Vẫn đang họp
867	歴史的論点は、ダーウィニズムが３つの進展段階を得ているということで要約できよう。 	The historical thesis can be summarized by saying that Darwinism has undergone three stages of evolution.	
868	どう並べ替えて詰めても, この箱だと納まりが悪い。 	No matter how you rearrange them, they won't fit into this box.	
869	彼女は自分の負担でその本を出版した	She published the book at her own expense.	
870	低評価０ってすごいな。 久々に聞いたけど鳥肌たった。 もっといろんな人に聞いてもらいたいし、知ってもらいたい。		Lượt dislike
871	無断で通話録音をするのは違法？適法？		
872	洗い物を手伝だいに行って下ください。 	Go and help wash up, will you?	
873	ロジバンでは開発当初より一貫して文化的中立を保つ事が志されています。	In the development of Lojban, efforts were consistently made since the initial phase to keep the language culturally neutral.	
874	どういう処置を取るかはあなたに任せます。 	I leave it in your hands what course of action to take.	
875	代表的な配線のパターンは2つあり、屋外からLANケーブルを引くか屋内からLANケーブルを引くかという事になります。		Kéo đường dây
876	sugar daddyに美味しいご飯に連れていってもらったり、ブランド品を買ってもらったりしているようです。僕はメンズなので実態は分かりませんが・・・		
877	リンちゃんは、カラムが次のページにはみ出る場合に、そのカラムを次に送れるかをメンバーに確認お願いします。		overflow
878	margin とか padding の指定は長くなりがちなので、このような少しくせのある指定の仕方ですが、キーワードを使えるようになっておくと良いでしょう。		
879	「だって」はいろいろ種類があるので、 どれかわからないんですけど、 多分、この、「...だって」と書いてあるので、 「...だって」かなとは思います。	There are some kinds of "だって", so I'm not sure which one you want to know, but it says "...datte", so I guess "something + datte".	
880	title の領域用に div を作ってあげて…、まずは h1 タグでタイトルを書いてあげましょう。		Khu vực title
881	このようにブラウザ幅に応じて違うレイアウトを組むことができるのですが、 Bootstrap では 4つ のブレークポイントを用意しています。		
882	半角空白を入れておかないと画面や要素からテキストがはみ出してしまいます。		Text tràn ra ngoài màn hình/element
883	見出しに関しては中央揃えにしたいので text-center としつつ、下との余白を付けたいので mb-5 としてあげましょう。		Set khoảng cách (margin) dưới
884	ちゃんとそのように配置されているのがわかります。		Đúng, chuẩn
885	では今回、こういった特徴紹介が二つあるので、こちらの div をもう一個コピーしてあげて、画像を変えてあげればいい感じになるかと思います。		Copy paste một cái div nữa
886	要素は配置されましたが div 同士の間が詰まっているので、上の div に対して mb-5 としてあげましょう。		2 div đang dính vào nhau
887	どうするかなのですが、 column に順序を示す order というキーワードを使ってあげれば OK です。		
888	ブラウザ幅が sm 以上の時は、この img が先にくるように order-sm-1、としてあげて順番を指定してあげましょう。		Để ảnh này xuất hiện trước
889	Android についても同じようにしたいのでページ内リンクを #android にしつつ、こちらの内容も Android にしてあげます。		
890	ブラウザのほうで見てあげると…、こうですね、必要な要素は揃ったのであとはスタイリングをしていきましょう。		
891	英語と日本語のバイリンガルの方に質問です。各言語を話している時人格が変わりますか？だとしたらその例を挙げてください。		
892	実際は、色付きの線が交差する白黒画像です。		
893	動物に比べたら人間なんて小さいなと感じさせる写真は何ですか？		Khiến bạn cảm thấy
894	背景色は灰色にしたいので bg-light 、文字を中央揃えにしておきつつ、 padding も y 方向にあるといいかと思います。		
895	ここまで出来たら中にボタンを作っていきたいのですが、上のほうで一回書いたのでそれをコピーしてしまえば OK でしょう。		
896	ではこれで見てみると…、こうですね、いい感じなので footer の中身も作っておきましょう。		
897	中に入れるテキストですが、適当に Copyright っぽいテキストを入れてあげればいいのではないでしょうか。		
898	他にもいろいろなオプションがあるので、興味がある人は公式サイトを調べてみてください。		Còn có những option khác nữa
899	EC2インスタンス（要は仮想サーバー）を例にあげましょう。		Lấy ví dụ là...
900	EC2を立ち上げれば、１時間あたりの単価 × 使用時間という料金を支払います。ところが登録後1年間は、毎月750時間までは課金しませんよ、というのが無料枠です。		
901	合っていますか＝正しいですか＝間違いないでしょうか		
902	ではこのあたりに div を用意してあげて、中身に適当なテキストを入れてあげましょう。		
903	ただ、今のままだとパッと消えてしまって少しかっこわるいので、 fade show という class をつけてあげることで、いい感じの消え方をしてくれるはずです。		Không đẹp
904	ふわっと消えているので OK かと思います。		Fade nhẹ
905	いま人生の「転換期」を迎えている人も多いと思います。		
906	統計的数字	Statistic figures	Con số thống kê
907	下ごしらえと聞くとなんだか面倒なイメージがあると思いますが、この下ごしらえをしっかりマスターしておくことで、お料理の味も良くなり、なにより時短につながるんですよ。		
908	ちょっとたのむよ、彼女はこれ以上高嶺の花になりえるかい？ロス！言ってやってよ。	Oh please, could she be more out of my league? Ross, back me up here.	
909	で、ロスとはどうなってるの？	So, what's going on with you and Ross?	
910	Web 技術をケーキだとするとこれは 3 つ目の層です		
911	JavaScript はそれ以上のことができます — もっと詳しく見てみましょう。	JavaScript can do a lot more than that — let's explore what in more detail.	
912	先ほどの例では click イベントを使用して、ボタンがクリックされたことを検出し、ラベルを更新するコードを実行しました。	We used a click event in our example above to detect when the button is clicked and then run the code that updates the text label.	Phát hiện
913	（・・・）自分で組み立てるよりも、既に切り出されたボードとネジを使って本棚を組み立てるだけの方がずっと簡単ですよね。	It is much easier to take ready-cut panels and screw them together to make a bookshelf than it is to (...)	Đơn giản hơn nhiều
914	つまりどの順番で実行されるかということに気を配らなければなりません。	This means that you need to be careful what order you put things in.	
915	これはとてもよくあるエラーです。 オブジェクトに対して何かをする前にはそのオブジェクトへの参照が存在していることに気を配らなければなりません。	This is a very common error — you need to be careful that the objects referenced in your code exist before you try to do stuff to them.	
916	それでは <script> 要素内に JavaScript を書いて、もうちょっと面白いことをしてみましょう。 「// JavaScript をここに書きます」と書いてあるすぐ下に、以下のコードを追加してください。	Now we'll add some JavaScript inside our <script> element to make the page do something more interesting — add the following code just below the "// JavaScript goes here" line:	
917	スクリプトを適切なタイミングで読み込むためには、いくつかの問題があります。	There are a number of issues involved with getting scripts to load at the right time.	Đúng lúc
918	ミサトさんが死ぬシーンはガチで泣けた。結局は人と人の戦いなんだなぁ		
919	JavaScript を使用してページ上の要素（またはより正確には、Document Object Model）を操作している場合、何かをしようとする HTML の前に JavaScript が読み込まれ、解析されてもコードは機能しません。	If you are using JavaScript to manipulate elements on the page (or more accurately, the Document Object Model), your code won't work if the JavaScript is loaded and parsed before the HTML you are trying to do something to.	Hay nói chính xác hơn
920	このブロック内の JavaScript はそのイベントが発生するまで実行されないため、エラーは回避されます (コースの後半でイベントについて学習します) 。	The JavaScript inside this block will not run until after that event is fired, therefore the error is avoided (you'll learn about events later in the course).	
921	この解決策の問題点は、HTML DOM が読み込まれるまでスクリプトの読み込みと解析が完全にブロックされることです。	The problem with this solution is that loading/parsing of the script is completely blocked until the HTML DOM has been loaded.	
922	第二に、var を使用するとき、好きなだけ同じ変数を何度でも宣言することができます。	Secondly, when you use var, you can declare the same variable as many times as you like.	
923	どうぞスミスさんにつないでください。 	Please put me through to Mr. Smith.	
924	私わたしたちはそれを公おおやけにしようと思おもう。 	We will make it public.	
925	十分じゅうぶん頂いただきました、有り難ありがたうございます。 	I've had enough, thank you.	
926	私達は質素な食物を食べるのに慣れている。 	We are used to eating plain food.	
927	 知るもんか／知るか	“How should I know?”/“Who cares?”	
928	 文句あるのか！	Got a problem?!	
929	５５５	Go go go!	
930	８８８（ぱちぱちぱち）	*clap clap clap*	
931	うｐ乙です！（。’・ω・）/” ﾅﾃﾞ ﾅﾃﾞ	乙＝おつ＝お疲れ様です。	
932	は！寝ちゃってた! 見てた？恥ずかしいな～照	Did they see? How embarrassing… *blushes*	
933	やっと、、 すぐ落ちるけど、、 明日も仕事だから寝よう いい夢みろよ	Finally… I’m going to log off now… I have work tomorrow so I’m going to sleep Sweet dreams!	
934	意味わからないのでもう少しｋｗｓｋ	I don’t know what you mean, so could you give me a bit more details?﻿	
935	ウィル：ちょっと意地悪？お前は俺の人生を惨めにしたんだ！ レイチェル：全然知らなかったわ。。。ごめんなさい。私・・・ ウィル：ああ、申し訳なく思うべきだね。知るか！ヤムもってこい！	A little mean? You made my life miserable! I'm-I'm―I had no idea. I'm sorry. I… Well you should be. Screw it! Bring on the yams!	
936	『転職したい！』 『理想的なライフスタイルを実現したい！』 『フリーランスになりたい！』 そういう要望を持っている方向けに、週に1度リアルなお役立ち情報を配信しています。 登録すれば、LINE＠限定「最短でプログラマーになるための転職ロードマップ」も確認できます！		
937	Bootstrapは最も有名なCSSフレームワークの一つで、利用することでコーディングスピードが飛躍的に上がります（開発してくれたTwitter社さん、ありがとう！）		
938	コーダーとして名乗るからには必須レベルで使っておきたいのがEmmetです。		
939	かつてはフグ毒に当たると頭だけだして地面に埋めれば治るなどの民間療法があったが完全な迷信で全く効果はない。		Trúng độc
940	暴力クイズ風にいえば、韓国の朴槿恵（パク・クネ）大統領は新政権の課題として「4大社会悪根絶」を公約に挙げていますが、この4つとは何と何でしょう？		
941	かしこまらずに、どうぞお楽にしてください。 	Please relax and make yourself comfortable.	
942	警官たちはその残虐な殺人事件の手掛かりを捜している。 	The cops are searching for clues to the cruel murder.	
943	ポイント還元とは、顧客が商品を購入した際に、商品の金額や種類・ポイント還元率に応じてポイントが返ってくる、というサービスです。		
944	なんとしても勝ち越そう！		
945	関数のスコープと競合	Function scope and conflicts	
946	あなたのコードの部品を関数の中に隔離するとこのような問題を避けられるので、これが一番良いやりかたと考えられています。	Keeping parts of your code locked away in functions avoids such problems, and is considered best practice.	
947	直近の random-canvas-circles.html の例でこれを見たでしょう。	We saw this in action recently in our random-canvas-circles.html example.	
948	言うまでもなく弱っちいフォームの検証です — 例えばフォームに空白や数字が入っていても止められません — が、例としては十分です。結果はこうなります。	Obviously, this is pretty weak form validation — it wouldn't stop the user validating the form with spaces or numbers entered into the fields, for example — but it is ok for example purposes. The output is as follows:	
949	どんなものか例を見てみましょう。	Let's work through an example to understand what they look like.	
950	うっかりしてた	I was careless.	
951	納期は延びるんでしょうか。 いあ、契約通りです。 それはちょっと・・・。今だって毎日残業ですし・・・。 大変なのはわかります。		
952	靴を履いたまま上がってください		Hãy cứ mang giầy vào luôn ạ
953	保守性と再利用性を向上させる設計に必要な3つの考え方		
954	ソフトウェア開発で作られる製品は、以下の3つに分類することができます。  システムソフトウェア アプリケーションソフトウェア 組込みシステム		
955	組込みシステムは、家電製品や機械等に組み込まれているソフトウェアを指します。例えば、炊飯器や洗濯機をはじめとしたデジタル家電、AEDなどの医療機器を動かすために内部に組み込まれたシステムが挙げられます。		
956	仮説を立てることで時間を節約し、速いスピードで仕事をすることが可能になるのです。		
957	ここで、どれだけ顧客の課題を深堀できるかが重要になります。		
958	その他、予算や運用の開始時期、同業他社のシステム化の状況についてもヒアリングを行い、具体的な企画に落とし込んでいきます。		rival companies in the same business
959	早口言葉（はやくちことば）は、言いにくい言葉を通常より早く喋り、うまく言うことができるかを競う言葉遊び。		
960	今まで必死でダイエットしてきたウィルが、やけ食いをしようとしているのを気遣うモニカ。		
961	お～、よかった。どっちにしても首にしようと思ってたんだ。	Oh that's cool, I was gonna fire you anyway.	
962	なんてこと！いったい何があったの？	My God! What happened to you?	
963	将来はおよそ＿ドルの注文を見込んでいる	anticipate future orders of approximately...	
964	鑑賞者たちからは「『新聞記者』今年の邦画ナンバーワンに早くも出会ってしまった気がする」「『新聞記者』ここ数年観た邦画の中でも間違いなくずば抜けている」「タイムリーな時事ネタから、SNSを使った情報操作まで、リアルな背景があった。		
965	実は、遅れが出そうで・・・ どのぐらい遅れそうですか？		
966	上司に仕事を頼まれたときに「はい、問題ありません」と自信満々で答えてしまったが、実は心の中ではパニック状態だったため、適当に回答してしまった。そのあと落ち着くと、「もうだめだ。後戻りできないじゃないか」という不安な気持ちになった。		Chết cmnr...
967	締め切りは水曜日まで伸ばせますから。		
968	これ以上あなたを疲れさせたくない。		
969	仕様書でもそうなっていましたっけ・・・	Trong bản spec cũng ghi như thế ạ?	
970	もうユーザーマニュアルはできているんですか？		
971	こちらは同期エラーが出ているんですが、まだちょっと原因が特定できなくてね・・・		Không xác định được lí do
972	じゃあ、こちらは明日の朝一で直すことにします。	Thế thì mai sáng tôi đến sẽ sửa luôn	
973	以上で、仕入データ追加の説明を終わります。		Tôi xin kết thúc phần trình bày về...
974	担当のものに変わりますので、少々お待ちください。		Chuyển máy tới
975	レベルCなら日本の資格と同じのように扱われるんですので		
976	職務経歴		
977	日本語強化コースが開設されるのと同時に・・・		Cùng lúc, cùng thời điểm với...
978	日本に行きたいという希望はもうご家族に話してありますか？		
979	基幹系システム	Misson-critical system	
980	お手数ですが、送っていただけませんか？		
981	基本クラス	Base class	
982	派生クラス	Derived class	
983	抽象クラス	Abstract class	
984	カプセル化・抽象化・ポリモーフィズム・継承	Encapsulation; Abstraction; Polymorphism; Inheritance	
985	活用する	to leverage (to use (something) to maximum advantage).	
986	以下に主なソフトウェア品質要因を列挙する。		
987	ソフトウェア品質要因の測定		Đo lường
988	仕様変更には顧客の承認が必要だ…	I need their approval on changes of specs.	
989	プログラムを組む…	code a program	
990	設計を終えて製造に入った…	We are done with the design phase of the project, and moved onto the development phase.	
991	テスト工程に入る…start test phase テスト項目…test item テスト結果…test result テスト方法…test method バグが出る…bus show up バグをつぶす…fix テストケースを消化する…complete all the test case scenarios 再テストする…retest 結合テストをする…do the integration tests こういう条件だとエラーになる…The program returns an error under this condition. 予定通りテストを終える…finish the test on time 調べます…I'll check that out.		
992	電源断でシステムが落ちた…	Power outage shut down the system.	
993	解決できたので次バージョンで対応します…	The issue is resolved and a fix will be made available in the next release.	
994	進捗…progress 成果物…deliverables 生産性…productivity 工数（人月）…man-month 負荷…burden 士気…morale プロジェクトの開始…kick-off プロジェクトの終了…cutoff 人事管理…HRM(Human Resources Management) 能力成熟度モデル…CMM(Capability Maturity Model) プロジェクト要員は何人ですか…How many people are involved in this project? 顧客に提案する…propose one's idea to one's customer コスト削減…eliminate unnecessary cost/cut the cost プロジェクトを打ち切る…quit the project		
995	プロジェクトを率いる…spearhead プロセスを加速させる…expedite the process プロジェクトの概要…A brief on the project 一番の問題…most vital problem 作業分担...Work allocation 当初の見積もりにはいっていません…Your requirement doesn't include this function. かなりの工数がかかります…It will drastically increase man-hours. 仕様変更の承認をいただきたい…I need your approval on changes of specification. 立ち会いをお願いします…We call for your presence. 業績評価…performance appraisal 作業項目を洗い出す…identify To-Do items 要件がふくらみすぎ…customer's requirements exceed our capability to meet		
996	投資対効果		
997	進捗報告…progress report 納期に遅れる…miss one's ship date/extend delivery date スケジュール的に無理…not be able to meet requirements due to hard schedule 若干遅れている…We are slightly behind the schedule. 休日出勤でキャッチアップする…We have to work over the weekends to catch up with the schedule. 工数に影響が出る…affect man-hours あと2週間かかる…It should take us about 2 more weeks to do the job. 延期する…postpone the phase 前倒しする…move up the schedule/do ahead of schedule		
998	全く同感だ…I can't agree with you any more. 検討してみるよ…I'll take it into consideration. 質問どうぞ…Feel free to ask any questions. 会議の会場…the meeting venue.（placeより大きい） 会議の参加者…the attendees for the meeting 議事進行…the itinerary for the meeting		
999	議題…agenda	Nội dung cuộc họp	
1000	会議の日時…the date and time of the meeting		
1001	議長…the chairperson of the meeting		
1002	提案はありますか？…Dose anyone have a suggestion for		
1003	方法を考えてみよう…Let's figure out how we can ...		
1004	根拠がない…There is no basis for it.		
1005	(Why?と聞かれてボスが）いいからやれ…Because I say so.		
1006	確信があるわけではないが…I'm not 100% sure, but		
1007	最新技術…		
1008	システムを動かす／システムを移動させる		
1009	弊社製品は、労働生産性を最大限に向上させるように設計されている	Our product is designed to maximize work productivity.	
1010	このシステムはユーザカードを使ってログオンする必要がある	This system requires you to logon using your user card.	
1011	これはISO9004で必要な手続きだ	This is an ISO9004 required procedure.	
1012	仕様がなかなか決まらない	Defining requirements takes time./Customers have not finalized their requirements yet.	
1013	顧客と調整が必要だ	We need to sit down and talk with them.	
1014	見積もりについての考えを聞く	ask them for their opinion about our estimate	
1015	フォローする（≒催促する）	follow them up on it	
1016	明日朝イチでやります	I'll do it first thing tomorrow morning.	
1017	その問題は次期システムで対応する	fix the problem in the next system	
1018	運用でカバーする	back up by operation	
1019	今回はうまく切り抜ける	gloss over some issues this time	
1020	人件費を節約する	reduce personnel costs	
1021	仕様を書面にまとめる	write down requirements	
1022	見積もりを取る	get an estimate of	
1023	優先させる	prioritize/ put top priority to	
1024	工程をはしょる	cut a few corners/delay development until the next time	
1025	～を担当する	be responsible for the ...	
1026	現地で、現場で	on site	
1027	マシンが固まる	computer is locking up	
1028	パッチを当てる	apply patch	
1029	紙で渡す	hand in hard copy	
1030	終電で帰る	take the last train	
1031	今向かっている	I'm on my way.	
1032	今日はお会いできてよかったです。お時間をいただきありがとうございました。	I'm so glad to be here with you. Thanks so much for having me.	
1033	専門的でない言葉で言うと	describe in layman's terms	
1034	頑張れ	You can do it.	
1035	良い点と悪い点。功罪	pros and cons	
1036	一定の水準に達している	up to par	
1037	というわけで、一通りまとめてみました。やっぱ名前をきちんと認識していることが大事です。		
1038	それを踏まえた上で本を読めば、理解の深さが違ってきます。といっても、自分もまだまだ曖昧なところがあるので、精進していきますよ！！		
1039	前回の続きから始めたい	I want to continue where we left off	
1040	うそ！	Unbelieveable!	
1041	期限は○○日までにお願いします。	The deadline is 〜.﻿	
1042	不明点がある場合には、○○さんに確認を取ってください。	If you have any questions, please contact 〜.﻿	
1043	日本語は、英語の後に記載しています。	Japanese follows English.﻿	
1044	プロジェクトの進捗が遅延している理由を説明してください。		
1045	リスケジュールする必要がありますか？	Do we need to reschedule it?﻿	
